nama,sektor,website,kontak,facebook,instagram,twitter,linkedin,youtube
PT Bank Maybank Indonesia Tbk,Keuangan,www.maybank.co.id,021-29228888, https://www.facebook.com/MaybankIndonesia/,https://www.instagram.com/maybankid/,https://www.twitter.com/MaybankID,-,https://www.youtube.com/c/MaybankIndonesia
Bank Permata Tbk,Keuangan,www.permatabank.co.id,021-5237788,-,-,-,-,-
PT Newport Marine Services Tbk,Energi,www.nms-ina.com,+6221 23579928,-,-,-,-,https://www.youtube.com/@PT.NewportMarineServices
PT Formosa Ingredient Factory Tbk,Barang Konsumen Primer,www.bobaking.co.id,(021) 2222 8975,-,https://instagram.com/bobakingofficial,-,-,https://www.youtube.com/channel/UCN4l3N7dasmUBZfw5-CtQLQ
PT Bintang Oto Global Tbk,Barang Konsumen Non-Primer,www.bintangotoglobal.com,0341-363499,-,-,-,-,-
PT Bali Bintang Sejahtera Tbk.,Barang Konsumen Non-Primer,www.baliutd.com,0361-3700019,https://www.facebook.com/OfficialBaliUnited,https://www.instagram.com/baliunitedfc,https://twitter.com/BaliUtd,-,https://www.youtube.com/@officialbaliunited
PT Garuda Metalindo Tbk.,Barang Konsumen Non-Primer,www.garudametalindo.com,021 555 3963,-,-,-,-,-
PT Borneo Olah Sarana Sukses Tbk.,Energi,www.bosscoal.com,(021) 535 9777,-,-,-,-,-
PT Woori Finance Indonesia Tbk,Keuangan,www.woorifinance.co.id,021-5200434,-,https://www.instagram.com/woorifinance.indonesia/,-,https://www.linkedin.com/company/pt-woori-finance-indonesia,-
PT Batavia Prosperindo Internasional Tbk.,Keuangan,www.bpinternasional.com,021-5200180,-,-,-,-,-
PT Batavia Prosperindo Trans Tbk.,Transportasi & Logistik,http://www.bataviarent.com/,53191717,-,-,https://www.dropbox.com/scl/fi/u4hpmg3i2ohshdrz1qd17/FORM-SURAT-KUASA-RUPS-2024.docx?rlkey=qcgrjs5kzynil057dltmfzm7w&dl=0,-,-
Barito Pacific Tbk,Barang Baku,www.barito-pacific.com,(021) 530 6711,https://www.facebook.com/baritopacific.id,https://www.instagram.com/p/C6OP9xRLm0l/?img_index=1,https://twitter.com/BaritopacificID,https://www.linkedin.com/company/pt-barito-pacific-tbk-official/,https://www.youtube.com/channel/UC-ICBYbenwbgfePwceZhhEw
Indo Kordsa Tbk,Barang Konsumen Non-Primer,www.indokordsa.com,+61 21 8752115,-,-,-,-,-
PT Barito Renewables Energy Tbk.,Infrastruktur,www.baritorenewables.co.id,(021) 530 6711,-,-,-,-,-
PT Bank Syariah Indonesia Tbk,Keuangan,www.bankbsi.co.id,+62 21 30405999,https://web.facebook.com/bankBSI.ID/?locale=id_ID&_rdc=1&_rdr,https://www.instagram.com/banksyariahindonesia/,https://twitter.com/bankbsi_id?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,-,-
Bumi Resources Minerals Tbk,Barang Baku,www.bumiresourcesminerals.com,021-57945698,-,-,-,-,-
Berlina Tbk,Barang Baku,www.berlina.co.id,(021) 89830160,-,-,-,-,-
PT Wulandari Bangun Laksana Tbk,Properti & Real Estat,www.balikpapansuperblock.com,(0542) - 765888,-,https://www.instagram.com/balikpapansuperblock/,-,-,https://www.youtube.com/channel/UCrw2rhVP7sI4to_nnUiS7bw
PT Bumi Serpong Damai Tbk,Properti & Real Estat,www.bsdcity.com,021-50368368,https://www.facebook.com/bsdcity01,https://www.instagram.com/bsdcity_official/?hl=en,https://twitter.com/bsdcity_?lang=en,-,https://www.youtube.com/@bsdcity_official
Bank Sinarmas Tbk,Keuangan,www.banksinarmas.com,021-31990101,-,-,-,-,-
PT Bintang Samudera Mandiri Lines Tbk,Energi,www.bsmllines.com,021-22323392,-,-,-,-,-
Baramulti Suksessarana Tbk,Energi,www.bssr.co.id,(021)63853228 / (021)63851334,-,-,-,-,-
Bank of India Indonesia Tbk,Keuangan,www.boiindonesia.co.id,021-3500007,-,-,-,-,-
Bumi Teknokultura Unggul Tbk,Barang Konsumen Primer,www.btek.co.id,+62-21-8192989,-,-,-,-,-
Bakrie Telecom Tbk,Infrastruktur,http://www.bakrietelecom.com,021 - 91101112,-,-,-,-,-
Betonjaya Manunggal Tbk,Barang Baku,0,031-749-05-98,-,-,-,-,-
PT Bank SMBC Indonesia Tbk,Keuangan,www.smbci.com,021-300 26 200,https://www.facebook.com/BankBTPNOfficial/,https://www.instagram.com/smbc.indonesia,https://x.com/smbc_indonesia,https://www.linkedin.com/company/smbc-indonesia/,http://www.youtube.com/@smbc_indonesia
PT Bank BTPN Syariah Tbk.,Keuangan,www.btpnsyariah.com,+62-21 300 26 400,-,-,-,-,-
PT Segar Kumala Indonesia Tbk,Barang Konsumen Primer,www.sk-indonesia.com,0214603125,-,-,-,-,-
PT Budi Starch & Sweetener Tbk.,Barang Konsumen Primer,http://www.budistarchsweetener.com,021-5213383,-,-,-,-,-
PT Bukalapak.com Tbk,Teknologi,www.bukalapak.com,02150982008,-,-,-,-,-
Bukaka Teknik Utama Tbk,Infrastruktur,ttp://www.bukaka.com,021 8232323 (hunting),-,-,-,-,-
PT Buana Lintas Lautan Tbk.,Energi,www.bull.co.id,6221 - 30485700,-,https://www.instagram.com/buanalintaslautan/?hl=en,-,https://www.linkedin.com/company/pt-buana-lintas-lautan-tbk/,-
Bumi Resources Tbk,Energi,http://www.bumiresources.com,(021) 5794 2080,https://www.facebook.com/PTBumiResourceS/,https://www.instagram.com/ptbumiresources,https://x.com/bumi_resources,https://www.linkedin.com/company/pt.-bumi-resources-tbk./,https://www.youtube.com/channel/UC5iHJO6zP8lZJ2UDcGpuSEQ
PT Bukit Uluwatu Villa Tbk,Barang Konsumen Non-Primer,www.buvagroup.com,Kantor cabang :021-7209957,-,-,-,-,-
Bank Victoria International Tbk,Keuangan,www.victoriabank.co.id,021-5228888,https://www.facebook.com/VictoriaBankID,https://www.instagram.com/bankvictoria/,-,-,https://www.youtube.com/channel/UCXewh1ugl_8k6RPhhDJQZTA
Eagle High Plantations Tbk,Barang Konsumen Primer,www.eaglehighplantations.com,(021) 8665 8828,-,-,-,-,-
Bayan Resources Tbk,Energi,www.bayan.com.sg,021-2935 6888,-,-,-,-,-
PT Cahayaputra Asa Keramik Tbk.,Perindustrian,www.kaisar-ceramics.com,(021) 25675721,-,-,-,-,-
PT Campina Ice Cream Industry Tbk.,Barang Konsumen Primer,www.campina.co.id,(031) 843-2247,https://www.facebook.com/campina.eskrim,https://www.instagram.com/campinaicecream,https://twitter.com/campinaicecream,-,https://www.youtube.com/user/campinaofficial
PT Capitol Nusantara Indonesia Tbk.,Energi,www.cani.co.id,0541-732893/ 732897/ 731898/ 741921,-,-,-,-,-
PT Metro Healthcare Indonesia Tbk,Kesehatan,www.metrohealthcareindonesia.co.id,+62 21 5964 7937,-,-,-,-,-
PT Industri dan Perdagangan Bintraco Dharma Tbk,Barang Konsumen Non-Primer,www.bintracodharma.com,(+6221) 22356800,-,-,-,-,-
PT Capital Financial Indonesia Tbk,Keuangan,www.capitalfinancial.co.id,(62) (21) 2708 2002,-,-,-,-,-
PT Cashlez Worldwide Indonesia Tbk.,Teknologi,www.cashlez.com,0813-8080-7899,https://www.facebook.com/CashlezID/,https://www.instagram.com/cashlez/,-,https://www.linkedin.com/company/cashlez/?viewAsMember=true,https://www.youtube.com/channel/UCG0KuqeyCQdEZXplvL90XTw
Cahaya Aero Services Tbk,Infrastruktur,www.pt-cas.com,(021) 80885050,-,-,-,-,-
PT Cahaya Bintang Medan Tbk,Barang Konsumen Non-Primer,www.cbm-furniture.com,061 7852277,-,-,-,-,-
PT Citra Buana Prasida Tbk,Properti & Real Estat,www.citrabuanaprasida.co.id,(022) 8606 1108,-,-,-,-,https://www.youtube.com/watch?v=uvCygyUxCTs
PT Cakra Buana Resources Energi Tbk,Energi,www.cbre.co.id,(021) 25858070,-,-,-,-,-
PT Citra Borneo Utama Tbk,Barang Konsumen Primer,www.citraborneoutama.co.id,(0532) 21297,-,-,-,-,-
PT Communication Cable Systems Indonesia Tbk.,Perindustrian,www.ccsi.co.id,021-29865963,-,-,-,-,-
PT Wilmar Cahaya Indonesia Tbk.,Barang Konsumen Primer,www.wilmarcahayaindonesia.com,021-29380777,-,-,-,-,-
PT Centratama Telekomunikasi Indonesia Tbk.,Infrastruktur,www.centratamagroup.com,021 - 2967 8240,-,-,-,-,-
Clipan Finance Indonesia Tbk,Keuangan,www.clipan.co.id,021-5308005,https://www.facebook.com/clipanfinance.official,https://instagram.com/clipanfinance.official,https://twitter.com/clipan_finance,https://www.linkedin.com/company/pt-clipan-finance-indonesia-tbk,-
PT Citra Nusantara Gemilang Tbk.,Energi,www.cng.co.id,(021) 829 8507,-,-,-,-,-
PT Chemstar Indonesia Tbk,Barang Baku,www.chemstarindonesia.com,(62-264) 8222 823 / 824,-,-,-,-,-
PT Pelita Teknologi Global Tbk,Teknologi,www.pelitateknologi.com,0217694639,-,-,-,-,-
PT Chitose Internasional Tbk,Barang Konsumen Non-Primer,www.chitose-indonesia.com,(6222) 6031900,https://www.facebook.com/PT-Chitose-Internasional-Tbk-1477891929171156,https://www.instagram.com/chitoseinternasional/,https://twitter.com/ptchitose,-,-
Cita Mineral Investindo Tbk,Barang Baku,citamineral.com,021-7251344,-,https://instagram.com/haritabauxite,-,https://id.linkedin.com/company/cita-mineral-investindo-tbk-pt,-
PT Natura City Developments Tbk.,Properti & Real Estat,www.naturacity.co.id,+62 21 87953448,https://www.facebook.com/Natura-City-Developments-458049188084967/,https://www.instagram.com/natura_city_developments/,-,https://www.linkedin.com/company/serpongnaturacity/,https://www.youtube.com/channel/UCO-6x41RtmkSKbi04BNsBlQ
PT Citra Putra Realty Tbk,Barang Konsumen Non-Primer,https://www.cpr.co.id/,"021-29069370, 021-31996270",-,-,-,-,-
PT Sariguna Primatirta Tbk,Barang Konsumen Primer,www.tanobel.com,031 – 8544400,https://www.facebook.com/cleopurewater/,https://www.instagram.com/tanobel.id/?hl=en,https://twitter.com/cleopurewater?lang=en,https://www.linkedin.com/company/pt.-sariguna-primatirta-tanobel-food-,-
Colorpak Indonesia Tbk,Barang Baku,www.colorpak.co.id,021-590-19-62,-,-,-,-,-
Citra Marga Nusaphala Persada Tbk,Infrastruktur,www.cmnp.co.id,(021) 65306930 (hunting),-,-,-,-,-
PT Cemindo Gemilang Tbk,Barang Baku,www.cemindo.com,(021) 21889999,-,https://instagram.com/semenmerahputih?utm_medium=copy_link,-,https://www.linkedin.com/company/pt-cemindo-gemilang-semen-merah-putih-,-
PT AirAsia Indonesia Tbk,Transportasi & Logistik,https://ir.aaid.co.id/,(021) 29850888,-,-,-,-,-
PT Cisarua Mountain Dairy Tbk,Barang Konsumen Primer,www.cimory.com,+62 21 5874630,-,-,-,-,-
Exploitasi Energi Indonesia Tbk,Energi,www.energigroupindonesia.com,"021-80511130
021-80511131
021-80511132
021-80511133",-,-,-,-,-
PT Nusantara Sejahtera Raya Tbk,Barang Konsumen Non-Primer,www.cinema21.co.id,(021) 31901188,-,-,-,-,-
PT Century Textile Industry Tbk,Barang Konsumen Non-Primer,htpp://www.toray.co.id/centex/,"(021) 8711907, 8710724, 8710725",-,-,-,-,-
PT Black Diamond Resources Tbk,Energi,www.blackdiamontbk.com,(021)22958323,-,-,-,-,-
PT Wahana Interfood Nusantara Tbk.,Barang Konsumen Primer,www.wahana-interfood.com,-,-,-,-,-,-
COWELL DEVELOPMENT Tbk,Properti & Real Estat,-,386 7868,-,-,-,-,-
Charoen Pokphand Indonesia Tbk,Barang Konsumen Primer,www.cp.co.id,021-691 9999,-,-,-,-,-
PT Capri Nusa Satu Properti Tbk.,Properti & Real Estat,www.caprinusa.com,(021) 8606 151,-,-,-,-,-
Central Proteina Prima Tbk,Barang Konsumen Primer,www.cpp.co.id,50191788,-,-,-,-,-
PT Toba Surimi Industries Tbk,Barang Konsumen Primer,www.tobasurimi.com,+62 616871022,-,-,-,-,-
PT Carsurin Tbk,Perindustrian,www.carsurin.com,+62 21 5022 6868,-,-,-,-,-
Catur Sentosa Adiprana Tbk,Barang Konsumen Non-Primer,www.csahome.com,"566-8801, 567-2622",-,-,-,-,-
PT Cahayasakti Investindo Sukses Tbk,Properti & Real Estat,www.csis.co.id,0251 8666 873/874,-,-,-,-,-
PT Cipta Selera Murni Tbk.,Barang Konsumen Non-Primer,www.ciptaseleramurni.co.id,(021) 314 0411,-,-,-,-,-
PT Cisadane Sawit Raya Tbk.,Barang Konsumen Primer,www.csr.co.id,(021) 66673312-15,https://www.facebook.com/profile.php?id=61577320409226,https://www.instagram.com/csra.id/,https://twitter.com/csrofficial3,https://www.linkedin.com/company/csra-official/,https://www.youtube.com/channel/UCcWG9lyZ7jKjg6EtcsATYcA
Citra Tubindo Tbk,Barang Baku,www.citratubindo.com,(021) 5250609,-,https://www.instagram.com/ptcitratubindo/?hl=en,-,https://www.linkedin.com/company/pt--citra-tubindo-tbk/,-
Ciputra Development Tbk,Properti & Real Estat,www.ciputradevelopment.com,"(021) 2988-5858, 2988-6868, 2988-7878",https://www.facebook.com/GrupCiputra,https://www.instagram.com/ciputra.group/,-,https://www.linkedin.com/company/ciputra-group/,https://www.youtube.com/channel/UC1mFggDFssefrR-v3SbZ7Eg
Citatah Tbk,Perindustrian,http://www.citatah.co.id,021 - 3972 2018,https://www.facebook.com/citatah.official/,https://www.instagram.com/citatah.official/,-,-,https://www.youtube.com/channel/UCHYJUKwe2K6tEn2uazqsozQ
PT Petrindo Jaya Kreasi Tbk,Energi,www.petrindo.co.id,(021) 5308520,-,-,-,-,-
PT ITSEC Asia Tbk.,Teknologi,https://www.itsec.asia/,021-29783050,https://www.facebook.com/itsec.asia,https://www.instagram.com/itsec.asia/,-,https://www.linkedin.com/company/2271512/admin/feed/posts/,https://www.youtube.com/@itsecasia
PT Daaz Bara Lestari Tbk,Barang Baku,http://www.daaz-group.com/,(021) 2933 3203,-,-,-,-,-
PT Diamond Citra Propertindo Tbk.,Properti & Real Estat,http://www.diamondland.id/,(021) 29415959,-,-,-,-,-
Duta Anggada Realty Tbk,Properti & Real Estat,www.dutaanggadarealty.com,520 8000,-,-,-,-,-
PT Remala Abadi Tbk,Infrastruktur,https//remala.id,(021) 83709269,-,-,-,-,-
PT Duta Intidaya Tbk.,Barang Konsumen Primer,www.watsons.biz.id,021-2128-3001,https://www.facebook.com/WatsonsIndonesia,https://www.instagram.com/watsonsindo/,https://x.com/watsonsindo,-,https://www.youtube.com/channel/UCsDu-0tt6aDcwWJzJheJwuw
PT DCI Indonesia Tbk,Teknologi,www.dci-indonesia.com,+62 21 2903 7500,-,-,-,https://www.linkedin.com/company/dci-indonesia/,https://www.youtube.com/channel/UCd60IK-zw2LKdjMwflqKI8g
PT Dewata Freightinternational Tbk.,Transportasi & Logistik,www.dfilogistics.com,+62 (021) 29688899,-,-,-,-,-
Danasupra Erapacific Tbk,Keuangan,www.danasupra.com,+62 21 51401157,https://www.facebook.com/people/Danasupra-Erapacific/100006845656886/,-,-,-,-
PT Caturkarda Depo Bangunan Tbk,Barang Konsumen Non-Primer,www.depobangunan.co.id,021–53120808,https://www.facebook.com/official.depobangunan,https://www.instagram.com/depo_bangunan,https://twitter.com/depobangunan,https://www.linkedin.com/company/pt-caturkarda-depo-bangunan-tbk,https://www.youtube.com/depobangunanofficial
Darma Henwa Tbk,Energi,www.ptdh.co.id,021- 5025 8888,-,https://www.instagram.com/darmahenwaofficial/?hl=en,-,https://id.linkedin.com/company/pt-darma-henwa-tbk,-
PT Dewi Shri Farmindo Tbk,Barang Konsumen Primer,www.dewishrifarmindo.com,(62-21) 5880094,-,-,-,-,-
PT Dafam Property Indonesia Tbk,Barang Konsumen Non-Primer,www.dafamproperty.com,"+6224 8312735 , +6224 8506459",-,-,-,-,-
Nusa Konstruksi Enjiniring  Tbk,Infrastruktur,http://www.nusakonstruksi.com,"7221003, 7267603",-,https://www.instagram.com/nusa.konstruksi/,-,https://id.linkedin.com/company/pt-nusa-konstruksi-enjiniring-tbk,-
PT Diagnos Laboratorium Utama Tbk,Kesehatan,www.diagnos.co.id,+62 21 3193 1883,https://www.facebook.com/people/Laboratorium-Diagnos/100087523654302/,https://www.instagram.com/diagnoslab/,-,-,https://www.youtube.com/@ptdiagnoslaboratoriumutama1985
PT Arkadia Digital Media Tbk,Barang Konsumen Non-Primer,www.arkadiacorp.com,+62 21 7241888,-,-,-,-,https://www.youtube.com/playlist?list=PLIMKSrm9oeucIO_FdEww1sfgO96FBLw4B
Intiland Development Tbk,Properti & Real Estat,www.intiland.com,"+62 21 570 1912, 570 8088",https://www.facebook.com/developingyourworld/,https://www.instagram.com/intilanddev/,-,https://www.linkedin.com/company/intiland-development/?originalSubdomain=id,https://www.youtube.com/channel/UC0OGVd591vZDsKK4L98Gx5w
PT Distribusi Voucher Nusantara Tbk,Teknologi,www.ptdvn.com,+6221 30480712,-,-,-,-,-
Central Omega Resources Tbk,Barang Baku,centralomega.com,021-515 3533,-,-,-,-,-
Delta Djakarta Tbk,Barang Konsumen Primer,www.deltajkt.co.id,"021- 882-25-20, 880-05-11, 916-30-85",-,-,-,-,-
PT Puradelta Lestari Tbk.,Properti & Real Estat,www.deltamas.id,(62) (21) 89971188,https://www.facebook.com/KotaDeltamasCikarang/?fref=ts,https://www.instagram.com/kota_deltamas/,https://x.com/@kota_deltamas,https://id.linkedin.com/company/pt-puradelta-lestari-tbk,https://www.youtube.com/@Kotadeltamas
PT Digital Mediatama Maxima Tbk,Teknologi,www.dmmgroup.id,02127883335,-,-,-,-,-
PT Diamond Food Indonesia Tbk.,Barang Konsumen Primer,www.diamondfoodindonesia.com,(021) 6405678,https://facebook.com,https://instagram.com,https://twitter.com,https://linkedin.com,https://youtube.com
PT Bank Oke Indonesia Tbk.,Keuangan,www.okbank.co.id,021-2312633,-,-,-,-,-
PT Indoritel Makmur Internasional Tbk.,Keuangan,www.indoritel.co.id,021- 29410709,-,-,-,-,-
PT BUMA Internasional Grup Tbk,Energi,https://bumainternational.com/,021 3043 2080,-,-,-,https://www.linkedin.com/company/pt-delta-dunia-makmur-tbk/,-
PT Era Media Sejahtera Tbk,Barang Konsumen Non-Primer,https://www.sspace.id,(021)7654937,-,https:/www.instagram.com/sspacemedia,-,https:/www.linkedin.com/company/sspace-media-advertising/,https://www.youtube.com/@sspacemedia
PT Global Sukses Digital Tbk,Barang Konsumen Non-Primer,www.globalsuksesdigital.com,021-2700195,-,https://www.instagram.com/doss.id/,-,-,https://www.youtube.com/@dosstvchannel
Duta Pertiwi Nusantara Tbk,Barang Baku,-,021-522-67-28,-,-,-,-,-
PT Dua Putra Utama Makmur Tbk.,Barang Konsumen Primer,www.duaputra.co.id,(0295) 4199 010/11,-,-,-,-,-
PT Dharma Polimetal Tbk,Barang Konsumen Non-Primer,www.dharmagroup.co.id,021) 897 4637 / (021) 897 4559,-,https://www.instagram.com/dharmagroup_/,-,-,https://www.youtube.com/embed/GfsKXh4tMQc
Dharma Samudera Fishing Ind. Tbk,Barang Konsumen Primer,www.dsfi.id,"430-10-01, 437-10-10, 435-39-65 (- 6), 0816-82-12-39",-,-,-,-,-
PT Dharma Satya Nusantara Tbk.,Barang Konsumen Primer,www.dsn.co.id,(+62) 21 4618135,https://www.facebook.com/PT-Dharma-Satya-Nusantara-Tbk-123348982400296/,https://www.instagram.com/reel/DGSqbWZICBV/?igsh=MXAwNWw5dzZ2aWxmZg==,-,https://id.linkedin.com/company/pt-dharma-satya-nusantara-tbk,-
Dian Swastatika Sentosa Tbk,Energi,www.dssa.co.id,021-31990258,-,-,-,-,-
PT Djasa Ubersakti Tbk,Infrastruktur,http://djasaubersakti.co.id/,0217660114,-,https://www.instagram.com/djasaubersakti/,-,-,-
PT Jaya Bersama Indo Tbk.,Barang Konsumen Non-Primer,jbi.reqcode.com,+62 21 58901634,-,-,-,-,-
Duta Pertiwi Tbk,Properti & Real Estat,www.sinarmasland.com,021 - 50368368,https://www.facebook.com/sinarmasland/,https://www.instagram.com/sinarmas_land,https://twitter.com/sinarmas_land,https://www.linkedin.com/company/sinar-mas-land,https://www.youtube.com/channel/UCVxIPn2_4HYa18VclGzIqKg
Darya-Varia Laboratoria Tbk,Kesehatan,http://www.darya-varia.com,021 227 68000,-,https://www.instagram.com/darya_varia,-,https://www.linkedin.com/company/darya-varia/,https://www.youtube.com/channel/UC4sjVJQfOgUtb5rz6vAR8Zg
PT Dwi Guna Laksana Tbk,Energi,www.dwigunalaksana.co.id,02180511142,-,-,-,-,-
PT Dyandra Media International Tbk.,Perindustrian,www.dyandramedia.com,02153673111,-,https://www.instagram.com/dyandramediaintl,-,-,-
PT Eastparc Hotel Tbk,Barang Konsumen Non-Primer,www.eastparc.co.id,+622744932000,-,https://instagram.com/eastparchotel?igshid=YmMyMTA2M2Y=,-,-,-
PT Electronic City Indonesia Tbk.,Barang Konsumen Non-Primer,www.corp.electronic-city.com,0215151177,https://www.facebook.com/ElectronicCityIndonesia/,https://www.instagram.com/electroniccityid/,https://x.com/electronic_city?lang=en,-,https://www.youtube.com/@ElectronicCityID/videos
PT Indointernet Tbk.,Teknologi,www.indonet.co.id,(021) 7388 2525,-,https://www.instagram.com/indonet.id/,-,https://id.linkedin.com/company/indonet,-
Ekadharma International Tbk,Barang Baku,www.ekadharma.com,021-5883090,-,-,-,-,-
PT Data Sinergitama Jaya Tbk,Teknologi,www.elitery.com,0217511004,https://www.facebook.com/elitery.indo,https://www.instagram.com/elitery.indo/,https://twitter.com/eliterycloud,https://www.linkedin.com/company/elitery/,https://www.youtube.com/channel/UCcBy0GxGRWBmokVVjs8BBzw/videos
PT Pelayaran Nasional Ekalya Purnamasari Tbk,Transportasi & Logistik,www.pnep.co.id,(+62) 31 - 568 0121,-,https://www.instagram.com/elpi_tbk/,-, https://www.linkedin.com/company/pnep/,https://www.youtube.com/channel/UChJ7k5FxFr6ZZxCL8lCKsEw/
Elnusa Tbk,Energi,www.elnusa.co.id,(021) 788-30850,-,https://www.instagram.com/elnusaofficial/?hl=id,-,https://www.linkedin.com/company/pt-elnusa-tbk/mycompany/,https://www.youtube.com/channel/UCTuM_TL1X9I2gZvvAMlzzQA
Bakrieland Development Tbk,Properti & Real Estat,http://www.bakrieland.com,5257835,https://www.facebook.com/bakrielandgroup,https://www.instagram.com/bakrieland_group/,-,-,-
Megapolitan Developments Tbk,Properti & Real Estat,www.megapolitan-group.com,30019938,https://www.facebook.com/profile.php?id=100013458763773,https://www.instagram.com/megapolitandevelopments/,-,https://www.linkedin.com/company/pt-megapolitan-developments-tbk,https://www.youtube.com/user/MegapolitanDev/videos
Elang Mahkota Teknologi Tbk,Teknologi,www.emtek.co.id,021-7278 2066,-,-,-,-,-
PT Champ Resto Indonesia Tbk,Barang Konsumen Non-Primer,www.champ-group.com,+622139832178,-,https://www.instagram.com/gokanaresto/,-,-,-
Energi Mega Persada Tbk,Energi,www.emp.id,021-29941540,-,-,-,-,-
PT Envy Technologies Indonesia Tbk,Teknologi,www.envytech.co.id,-,http://www.facebook.com/wix,-,http://www.twitter.com/wix,https://www.linkedin.com/company/wix-com,https://www.youtube.com/channel/UCLtcyEbrcwCUT2GcPB5In7g
PT Morenzo Abadi Perkasa Tbk,Barang Konsumen Primer,www.morenzo.co.id,(62-291) 6910185,https://www.facebook.com/PT-Morenzo-Abadi-Perkasa-Tbk-105430014648751,-,-,-,https://www.youtube.com/channel/UCkcgLVTo2Yte--n51Y5OFOg
PT Megalestari Epack Sentosaraya Tbk.,Barang Baku,www.epack.co.id,021 2966 7018,-,-,-,-,-
Enseval Putera Megatrading Tbk,Barang Konsumen Primer,www.enseval.com,(021) 46822422,-,https://www.instagram.com/epmt_tbk/,-,-,-
Erajaya Swasembada Tbk,Barang Konsumen Non-Primer,www.erajaya.com,021-6905050,https://facebook.com/,https://instagram.com/,-,-,-
PT Sinar Eka Selaras Tbk,Barang Konsumen Non-Primer,www.ses.id,(+62) 21 6905 788,-,-,-,-,-
Eratex Djaja Tbk,Barang Konsumen Non-Primer,www.eratexco.com,(62-31) 9900 1101 (hunting),-,-,-,-,-
PT Sinergi Inti Plastindo Tbk.,Barang Baku,https://sinergiplastama.co.id/,021-27515179,-,-,-,-,-
ESSA Industries Indonesia Tbk,Barang Baku,www.essa.id,+62-21-29885600,-,-,https://akrayagroup.darwinbox.com/ms/candidate/careers,-,-
PT Esta Multi Usaha Tbk.,Barang Konsumen Non-Primer,www.estamultiusaha.co.id,+62 21 6083 4569,-,-,-,-,-
Ever Shine Textile Industry Tbk,Barang Konsumen Non-Primer,www.evershinetex.com,021-3160238 Hunting,-,https://www.instagram.com/evershinetex/?hl=id,-,https://id.linkedin.com/company/ever-shine-tex-tbk-pt,-
Eterindo Wahanatama Tbk,Barang Baku,www.eterindo.com,021-252 8080,-,-,-,-,-
PT Estee Gold Feet Tbk,Barang Konsumen Primer,www.esteegoldaerosol.com,021-6190528,-,-,-,-,-
PT XLSMART Telecom Sejahtera Tbk,Infrastruktur,https://www.xlsmart.co.id/,(021) 576 1881,-,-,-,-,-
PT FAP Agri Tbk,Barang Konsumen Primer,www.fap-agri.com,(021) 50205811,-,-,-,-,-
PT Fast Food Indonesia Tbk,Barang Konsumen Non-Primer,http://www.kfcindonesia.com,"8310919, 8298390, 8309382, 8309383",https://www.facebook.com/kfcindonesia,https://www.instagram.com/kfcindonesia,https://twitter.com/kfcindonesia,-,https://www.youtube.com/user/IDseanGP
Fajar Surya Wisesa Tbk,Barang Baku,www.fajarpaper.com,021 - 3441316 / HP Corsec : 081398802173 (Marco),-,-,-,-,-
PT MD Entertainment Tbk,Barang Konsumen Non-Primer,www.mdentertainment.com/pictures/,(62-21) 29855777,https://www.facebook.com/MDPicturesIndonesia/,https://www.instagram.com/md_entertainment/,-,-,https://www.youtube.com/@MDPictures/videos
PT Fimperkasa Utama Tbk,Infrastruktur,www.fimperkasautama.co.id,021-7995666,-,-,-,-,-
PT Alfa Energi Investama Tbk.,Energi,www.alfacentra.com,0217246966,-,-,-,-,-
FKS Multi Agro Tbk,Barang Konsumen Primer,www.fksmultiagro.com,021 5088 9889,-,-,-,-,-
PT Hotel Fitra International Tbk,Barang Konsumen Non-Primer,www.fitratbk.co.id,(0233) 8292888,-,-,-,-,-
PT Falmaco Nonwoven Industri Tbk,Barang Konsumen Primer,www.falmaco-nonwoven.com,022-2022066,-,https://www.instagram.com/falmacononwovenindustri/,-,-,-
Fortune Mate Indonesia Tbk,Properti & Real Estat,www.fmiindo.com,(031) 561-28-18 (hunting),-,-,-,-,-
PT Multi Garam Utama Tbk.,Perindustrian,folkgroup.co,(021) 50123124,-,-,-,-,-
PT Sentra Food Indonesia Tbk.,Barang Konsumen Primer,www.sentrafood.co.id,(021) 29055295,https://www.facebook.com/ptsuperenergy/,https://instagram.com/ptsuperenergy?utm_source=ig_profile_share&igshid=tbpyh3j6cp1m,-,-,https://www.youtube.com/channel/UCHjAvITOx4Dq6L7K8mRAw-A
Fortune Indonesia Tbk,Barang Konsumen Non-Primer,www.foru.co.id,+62 21 23587333,https://www.facebook.com/thefortuna/?ref=bookmarks,https://www.instagram.com/thefortuna.co/,https://twitter.com/thefortuna_co,https://www.linkedin.com/company/the-fortuna-co/,-
-,-,-,-,-,-,-,-,-
PT Lotte Chemical Titan Tbk.,Barang Baku,www.lottechem.co.id,+6221-2788-3355,-,-,-,-,-
-,-,-,-,-,-,-,-,-
PT Fuji Finance Indonesia Tbk.,Keuangan,www.fujifinance.com,(021) 48679402,-,-,-,-,-
